billing_month,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,fresh_ret_qty,expiry_amt,expiry_qty,brkg_amt,brkg_qty,net_sale_amt,net_sale_qty,month_label,month_date,avg_temperature,avg_humidity,total_rainfall_mm,weather_obs_count,return_rate_pct,net_sale_ratio
202304,A.P.,3058400.2553,51550.8164,0.0,0.0,5810.49,130.0,628.29,14,3051961.4753,51406.8164,Apr-2023,2023-04-01,,,,,0.0,99.79
202304,ASSAM,159112.0869,2672.1366,0.0,0.0,1654.21,44.0,2154.24,48,155303.6369,2580.1366,Apr-2023,2023-04-01,,,,,0.0,97.61
202304,BIHAR,2393982.6727,40198.3212,2423.52,54.0,20906.84,466.0,274.01,6,2370378.3027,39672.3212,Apr-2023,2023-04-01,,,,,0.1,99.01
202304,CHATTISGARH,773682.7865,13024.1118,0.0,0.0,5854.51,133.0,269.28,6,767558.9965,12885.1118,Apr-2023,2023-04-01,,,,,0.0,99.21
202304,DELHI,1146583.5496,19403.4165,0.0,0.0,5365.1,120.0,224.35,5,1140994.0996,19278.4165,Apr-2023,2023-04-01,,,,,0.0,99.51
202304,GOA,109599.4785,1890.0611,0.0,0.0,0.0,0.0,44.87,1,109554.6085,1889.0611,Apr-2023,2023-04-01,,,,,0.0,99.96
202304,GUJARAT,2470468.0345,41517.2317,0.0,0.0,3933.72,89.0,0.0,0,2466534.3145,41428.2317,Apr-2023,2023-04-01,,,,,0.0,99.84
202304,HARYANA,979636.2583,16567.5044,0.0,0.0,5822.08,130.0,816.8,18,972997.3783,16419.5044,Apr-2023,2023-04-01,,,,,0.0,99.32
202304,HIMACHAL PRADESH,9742.2992,164.1862,0.0,0.0,941.28,21.0,0.0,0,8801.0192,143.1862,Apr-2023,2023-04-01,,,,,0.0,90.34
202304,JAMMU,114660.7854,1924.9937,0.0,0.0,44.64,1.0,0.0,0,114616.1454,1923.9937,Apr-2023,2023-04-01,,,,,0.0,99.96
202304,JHARKHAND,1136387.6527,19073.1273,0.0,0.0,1793.21,40.0,546.26,11,1134048.1827,19022.1273,Apr-2023,2023-04-01,,,,,0.0,99.79
202304,KARNATAKA,3639434.592,62467.3474,0.0,0.0,21295.47,516.0,988.41,20,3617150.712,61931.3474,Apr-2023,2023-04-01,,,,,0.0,99.39
202304,KASHMIR,1078.9742,20.0398,0.0,0.0,0.0,0.0,0.0,0,1078.9742,20.0398,Apr-2023,2023-04-01,,,,,0.0,100.0
202304,KERALA,1361702.1462,23039.6674,0.0,0.0,1342.23,35.0,583.4,13,1359776.5162,22991.6674,Apr-2023,2023-04-01,,,,,0.0,99.86
202304,M.P.,3357773.7276,56429.7052,0.0,0.0,12025.48,271.0,148.98,3,3345599.2676,56155.7052,Apr-2023,2023-04-01,,,,,0.0,99.64
202304,MAHARASHTRA,4326561.5485,72936.355,0.0,0.0,16090.12,401.0,2497.9,53,4307973.5285,72482.355,Apr-2023,2023-04-01,,,,,0.0,99.57
202304,ORISSA,1723607.0588,28970.4921,6103.68,136.0,4209.98,100.0,224.35,5,1713069.0488,28729.4921,Apr-2023,2023-04-01,,,,,0.35,99.39
202304,PUNJAB,853057.6041,14324.1371,0.0,0.0,2907.72,70.0,583.31,13,849566.5741,14241.1371,Apr-2023,2023-04-01,,,,,0.0,99.59
202304,RAJASTHAN,1509797.7656,25383.8987,0.0,0.0,5959.93,135.0,0.0,0,1503837.8356,25248.8987,Apr-2023,2023-04-01,,,,,0.0,99.61
202304,TAMIL NADU,3533489.4485,60185.4901,0.0,0.0,1255.54,29.0,189.06,4,3532044.8485,60152.4901,Apr-2023,2023-04-01,,,,,0.0,99.96
