root_state_name,gross_sale_amt,net_sale_amt,gross_sale_qty,net_sale_qty,fresh_ret_amt,fresh_ret_qty,expiry_amt,expiry_qty,brkg_amt,brkg_qty,contribution_pct,rank,total_returns_amt,region
U.P.,763397950.5142,762596410.8076,11475684.8194,11460197.5487,476210.3079,8584.5518,301550.8087,6463.7189,23778.59,439,44.98,1,801539.7066,North
MAHARASHTRA,136562135.5361,135604954.5019,2075570.8072,2055095.58,49624.5341,935.558,840833.4201,18265.6692,66723.08,1274,8.0,2,957181.0342,West
KARNATAKA,101235305.7277,100723655.5693,1572526.0636,1562348.9817,119293.2518,2084.0797000000002,369746.2766,7663.0022,22610.63,430,5.94,3,511650.15839999996,South
TAMIL NADU,91843925.5046,91498298.2403,1398171.9694,1391349.3782,113076.58380000001,2066.4629,194997.2305,4022.1283,37553.45,734,5.4,4,345627.26430000004,South
M.P.,78381204.5957,77933071.7438,1184977.7326,1175737.5423,104521.57729999999,1977.8962,330714.5646,7016.2941,12896.710000000001,246,4.6,5,448132.8519,Central
BIHAR,66255109.016,65978181.6727,996108.4259,990377.6917,65490.9669,1183.4074,192352.0964,4193.3268,19084.28,354,3.89,6,276927.3433,East
A.P.,65858164.7193,65469111.613800004,1002463.503,994415.6567,113986.3659,2104.7456,252790.4996,5514.1007,22276.239999999998,429,3.86,7,389053.1055,South
GUJARAT,59632662.2974,59305370.2173,902642.4612,895890.2147,10110.9763,182.9188,305575.7538,6348.3277,11605.35,221,3.5,8,327292.08009999996,West
TELANGANA,53350759.2119,53024933.412200004,820684.7671,814065.7318,85341.3527,1525.8114,218507.007,4675.2239,21977.44,418,3.13,9,325825.79970000003,South
ORISSA,41344293.915,41007172.3958,625220.1927,618312.4847,45530.3229,847.1838,273662.2363,5729.5242,17928.96,331,2.42,10,337121.51920000004,East
KERALA,37480194.7013,37063895.6306,575624.4249,567276.1533,69020.8063,1226.4513,330100.9144,6795.8203,17177.35,326,2.19,11,416299.0707,South
DELHI,31325003.266,31015452.3184,473140.902,466959.7536,59880.3619,1087.1439,239415.4157,4904.0045,10255.17,190,1.83,12,309550.9476,North
RAJASTHAN,30409720.3439,30153348.1287,458474.8283,453144.20660000003,13890.003999999999,248.664,238401.6612,5006.9577,4080.55,75,1.78,13,256372.21519999998,North
JHARKHAND,28079436.7636,27916785.542799998,423229.7788,419931.73829999997,11528.2411,210.0683,144838.7897,2968.9722,6284.19,119,1.65,14,162651.2208,East
CHATTISGARH,27449686.6281,27275040.0796,413299.1926,409567.5559,20593.079999999998,372.0,147230.2685,3231.6367,6823.2,128,1.61,15,174646.5485,Central
HARYANA,23721007.2503,23529498.2288,360031.9635,356150.2369,18017.528599999998,323.6468,168393.5229,3459.0798,5097.97,99,1.39,16,191509.0215,North
WEST BENGAL,22297578.2173,21816342.4535,337398.2596,327649.7537,61402.409999999996,1094.9297000000001,404184.4138,8346.5762,15648.94,307,1.29,17,481235.76379999996,East
UTTARAKHAND,19793940.3716,19690282.6043,297154.8945,295103.651,66327.9922,1214.2312,36546.3151,822.0123,783.46,15,1.16,18,103657.76729999999,North
PUNJAB,16123366.4015,15926357.1045,243298.7201,239314.306,20661.5879,385.6126,163886.2591,3366.8015,12461.45,232,0.94,19,197009.29700000002,North
ASSAM,3863874.1837999998,3694018.629,58644.3846,55118.5444,44733.91,821.0,116579.7648,2531.8402,8541.88,173,0.22,20,169855.5548,North-East
GOA,2507413.4491,2478123.8531,39767.579,39175.883,2699.957,48.2509,25610.339,525.4451,979.3,18,0.15,21,29289.595999999998,South
JAMMU,1702899.3896,1650498.3537,25772.3675,24727.8012,23721.24,426.0,28067.3459,607.5663,612.45,11,0.1,22,52401.0359,North
KASHMIR,153229.5982,129688.9059,2415.973,1934.8298,0.0,0.0,21157.012300000002,433.1432,2383.68,48,0.01,23,23540.692300000002,North
HIMACHAL PRADESH,140768.76929999999,118149.8125,2201.0123,1742.8096,617.4522999999999,12.3867,19663.3645,403.816,2338.14,42,0.01,24,22618.9568,North
