billing_month,month_label,year,month_num,net_sale_amt,gross_sale_amt,net_sale_qty,rolling_3m_net_sales,rolling_6m_net_sales,avg_temperature_c,avg_humidity,total_rainfall_mm,avg_temperature_c_roll3m,avg_temperature_c_roll6m,avg_humidity_roll3m,avg_humidity_roll6m,total_rainfall_mm_roll3m,total_rainfall_mm_roll6m,avg_temperature_c_lag1,avg_temperature_c_lag2,avg_temperature_c_lag3,avg_humidity_lag1,avg_humidity_lag2,avg_humidity_lag3,total_rainfall_mm_lag1,total_rainfall_mm_lag2,total_rainfall_mm_lag3,rollcorr_avg_temperature_c,rollcorr_avg_humidity,rollcorr_total_rainfall_mm,weather_imputed,imputation_method
202304,Apr-2023,2023,4,65808291.5282,65983419.3382,1108427.005,65808291.5282,65808291.5282,30.22,36.68,0.55,30.22,30.22,36.68,36.68,0.55,0.55,,,,,,,,,,,,,True,monthly_climatology
202305,May-2023,2023,5,39322722.354499996,39507981.7245,656450.0011,52565506.94135,52565506.94135,34.31,39.25,1.76,32.265,32.265,37.965,37.965,1.155,1.155,30.22,,,36.68,,,0.55,,,,,,True,monthly_climatology
202306,Jun-2023,2023,6,31067185.076700002,31266227.9367,505244.0019,45399399.65313333,45399399.65313333,33.86,52.24,5.87,32.79666666666667,32.79666666666667,42.723333333333336,42.723333333333336,2.7266666666666666,2.7266666666666666,34.31,30.22,,39.25,36.68,,1.76,0.55,,-0.946,-0.788,-0.826,True,monthly_climatology
202307,Jul-2023,2023,7,40046574.7087,40308745.1287,613433.0029,36812160.7133,44061193.417025,30.58,80.21,11.2,32.916666666666664,32.2425,57.23333333333333,52.095,6.276666666666666,4.845,33.86,34.31,30.22,52.24,39.25,36.68,5.87,1.76,0.55,-0.704,-0.432,-0.541,True,monthly_climatology
202308,Aug-2023,2023,8,64445947.417899996,64709754.2979,969715.0066,45186569.06776667,48138144.217199996,29.33,83.66,13.38,31.256666666666664,31.660000000000004,72.03666666666666,58.407999999999994,10.149999999999999,6.552,30.58,33.86,34.31,80.21,52.24,39.25,11.2,5.87,1.76,-0.802,0.088,0.06,True,monthly_climatology
202309,Sep-2023,2023,9,70239558.36479999,70468954.4348,1056347.0019999999,58244026.830466665,51821713.2418,29.16,78.32,6.94,29.689999999999998,31.243333333333336,80.73,61.72666666666667,10.506666666666666,6.616666666666667,29.33,30.58,33.86,83.66,80.21,52.24,13.38,11.2,5.87,-0.846,0.271,0.067,True,monthly_climatology
202310,Oct-2023,2023,10,69049281.6496,69353577.8896,1038879.0041,67911595.81076665,52361878.262033336,26.52,67.54,1.23,28.336666666666662,30.626666666666665,76.50666666666666,66.86999999999999,7.183333333333334,6.73,29.16,29.33,30.58,78.32,83.66,80.21,6.94,13.38,11.2,-0.87,0.6,0.048,True,monthly_climatology
202311,Nov-2023,2023,11,52039053.6253,52256952.7954,782033.0047,63775964.546566665,54481266.807166666,20.13,66.04,0.0,25.27,28.263333333333332,70.63333333333334,71.335,2.7233333333333327,6.4366666666666665,26.52,29.16,29.33,67.54,78.32,83.66,1.23,6.94,13.38,-0.385,0.535,-0.089,True,monthly_climatology
202312,Dec-2023,2023,12,33949726.5666,34142884.0766,513060.9963,51679353.94716666,54961690.388816655,14.69,72.61,1.02,20.44666666666667,25.068333333333328,68.73,74.73,0.7499999999999994,5.628333333333334,20.13,26.52,29.16,66.04,67.54,78.32,0.0,1.23,6.94,0.561,0.048,0.139,True,monthly_climatology
202401,Jan-2024,2024,1,31852962.569,32105248.059,480884.0023,39280580.9203,53596088.36553333,13.21,80.34,1.36,16.01,22.173333333333332,72.99666666666667,74.75166666666667,0.7933333333333327,3.9883333333333333,14.69,20.13,26.52,72.61,66.04,67.54,1.02,0.0,1.23,0.973,-0.034,0.51,True,monthly_climatology
202402,Feb-2024,2024,2,35600969.2642,35832260.3242,535779.9912,33801219.4666,48788592.00658333,18.53,65.24,0.54,15.476666666666668,20.373333333333335,72.73,71.68166666666667,0.9733333333333327,1.8483333333333334,13.21,14.69,20.13,80.34,72.61,66.04,1.36,1.02,0.0,0.965,-0.062,0.572,True,monthly_climatology
202403,Mar-2024,2024,3,34175961.7409,34400992.1709,513633.99980000005,33876631.19136667,42777992.56926667,24.18,53.52,0.58,18.64,19.543333333333333,66.36666666666666,67.54833333333333,0.8266666666666661,0.7883333333333334,18.53,13.21,14.69,65.24,80.34,72.61,0.54,1.36,1.02,0.696,-0.093,-0.011,True,monthly_climatology
202404,Apr-2024,2024,4,62698400.5487,62913824.930300005,941800.0044999999,44158443.85126667,41719512.38578333,30.22,36.68,0.55,24.310000000000002,20.16,51.81333333333333,62.405,0.5566666666666661,0.6749999999999999,24.18,18.53,13.21,53.52,65.24,80.34,0.58,0.54,1.36,0.758,-0.728,-0.593,True,monthly_climatology
