billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,A.P.,3058400.2553,51550.8164,0.0,3051961.4753,51406.8164,0.0,99.79,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,A.P.,1401600.723,23672.8545,0.0,1396713.083,23561.8545,0.0,99.65,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,A.P.,1556407.4013,26252.6222,0.0,1544385.1713,25982.6222,0.0,99.23,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,A.P.,2229282.9689,35248.9249,3942.0,2210239.8389,34823.9249,0.18,99.15,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,A.P.,2343811.9594,35343.963,13940.64,2323274.8694,34919.963,0.59,99.12,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,A.P.,2836451.4406,42810.3993,0.0,2828614.2006,42635.3993,0.0,99.72,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,A.P.,2895111.2296,43664.0598,2004.12,2883081.8396,43407.0598,0.07,99.58,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,A.P.,2435277.4987,36630.8553,0.0,2427239.4887,36445.8553,0.0,99.67,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,A.P.,1759440.4947,26537.8754,0.0,1745433.5447,26194.8754,0.0,99.2,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,A.P.,1885303.9202,28414.5697,8016.48,1869566.4628,28088.6549,0.43,99.17,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,A.P.,1323845.8325,20000.0026,1152.62,1307967.9625,19652.0026,0.09,98.8,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,A.P.,489425.4282,7573.113,8906.24,460900.6482,6974.113,1.82,94.17,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,A.P.,2221353.2992,33387.3028,31613.65,2179771.5693,32587.2477,1.42,98.13,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,A.P.,963633.0702,14531.4221,9912.48,943572.4207,14090.2408,1.03,97.92,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,A.P.,1231064.3694,18569.5406,2085.72,1221182.3731,18339.4425,0.17,99.2,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,A.P.,2074246.6382,31263.0314,1787.76,2069336.1117,31156.2085,0.09,99.76,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,A.P.,2540835.1241,38350.7574,0.0,2538682.4918,38306.7526,0.0,99.92,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,A.P.,2939606.0047,44321.2516,2713.8255,2931120.9852,44155.5949,0.09,99.71,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,A.P.,2008373.8951,30305.0775,0.0,2002344.0069,30183.2213,0.0,99.7,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,A.P.,1776572.9039,26760.6512,0.0,1770424.0629,26634.1601,0.0,99.65,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,A.P.,1429477.3685,21557.3122,0.0,1424822.9019,21443.0657,0.0,99.67,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,A.P.,1252630.7574,18923.9009,24.1477,1246502.9686,18789.0032,0.0,99.51,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,A.P.,1166986.616,17620.6309,0.0,1161796.2226,17516.5364,0.0,99.56,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,A.P.,511237.1874,7800.4919,8795.98,491219.4149,7414.1455,1.72,96.08,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,A.P.,1698498.1078,25533.3154,0.0,1688748.8341,25347.3866,0.0,99.43,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,A.P.,1382781.4319,20888.5909,1002.06,1377475.7983,20790.5108,0.07,99.62,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,A.P.,1707498.8872,25738.951,1614.43,1702233.6707,25643.9803,0.09,99.69,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,A.P.,1953366.1252,29120.0423,0.0,1946977.1627,29004.5403,0.0,99.67,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,A.P.,2000438.0176,29716.6153,334.0801,1998195.4993,29672.6896,0.02,99.89,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,A.P.,2237936.6901,33335.7142,4022.2926,2229874.5657,33196.5853,0.18,99.64,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,A.P.,1616009.5414,24003.5792,10078.8,1603812.5185,23784.7165,0.62,99.25,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,A.P.,1465744.2689,21777.0294,0.0,1460015.7315,21668.1375,0.0,99.61,65.84,18.8,64.74,0.0,False,observed,30.0
