billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,ASSAM,159112.0869,2672.1366,0.0,155303.6369,2580.1366,0.0,97.61,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,ASSAM,150217.9154,2523.1099,807.84,146143.4854,2432.1099,0.54,97.29,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,ASSAM,116570.2245,1817.6788,0.0,112487.4645,1726.6788,0.0,96.5,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,ASSAM,115813.3158,1784.3492,0.0,103489.7258,1510.3492,0.0,89.36,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,ASSAM,212230.3017,3177.9491,0.0,206841.0617,3056.9491,0.0,97.46,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,ASSAM,110075.8672,1652.1123,0.0,108774.4972,1623.1123,0.0,98.82,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,ASSAM,76608.7488,1148.998,0.0,70056.5888,1002.998,0.0,91.45,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,ASSAM,83079.8844,1245.229,0.0,75405.4744,1067.229,0.0,90.76,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,ASSAM,75768.8684,1143.342,3873.48,68439.7684,985.342,5.11,90.33,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,ASSAM,57229.1236,897.3018,2979.6,51642.2936,779.3018,5.21,90.24,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,ASSAM,57257.5976,858.4247,0.0,55947.2276,827.4247,0.0,97.71,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,ASSAM,39647.2889,594.1196,0.0,35962.8789,504.1196,0.0,90.71,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,ASSAM,201860.0224,3021.685,0.0,199169.2894,2957.6845,0.0,98.67,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,ASSAM,129700.9843,1943.6078,0.0,128703.3418,1923.3329,0.0,99.23,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,ASSAM,102981.1611,1541.684,0.0,101188.2657,1497.1232,0.0,98.26,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,ASSAM,133498.2331,1999.8121,0.0,129414.9517,1909.5223,0.0,96.94,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,ASSAM,146410.5762,2259.7715,0.0,142129.2953,2163.6807,0.0,97.08,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,ASSAM,95455.4965,1430.5118,0.0,95237.5939,1426.1279,0.0,99.77,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,ASSAM,64074.939,960.8736,0.0,60499.419,886.8736,0.0,94.42,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,ASSAM,106273.9624,1594.8251,0.0,105628.3824,1574.8251,0.0,99.39,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,ASSAM,112947.0337,1690.6849,14752.61,97002.0541,1399.6754,13.06,85.88,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,ASSAM,28326.5629,424.7838,0.0,22970.9429,293.7838,0.0,81.09,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,ASSAM,80553.2632,1206.8473,6680.4,71166.5574,1024.6553,8.29,88.35,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,ASSAM,32686.1179,491.0869,556.7,28378.0376,412.9361,1.7,86.82,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,ASSAM,191350.0753,2866.9106,0.0,183264.2318,2718.8631,0.0,95.77,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,ASSAM,113203.5754,1698.9454,0.0,112980.5714,1694.616,0.0,99.8,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,ASSAM,133390.6272,1984.4599,0.0,127450.1488,1872.2012,0.0,95.55,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,ASSAM,132485.7868,1971.9685,1892.78,122946.2468,1791.6523,1.43,92.8,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,ASSAM,62405.5661,983.1968,0.0,61618.5945,962.9709,0.0,98.74,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,ASSAM,75246.2484,1125.4646,0.0,72734.7412,1075.3535,0.0,96.66,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,ASSAM,124998.0353,1888.2545,10131.94,113696.9853,1685.2545,8.11,90.96,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,ASSAM,81880.0209,1209.5802,0.0,80754.9472,1189.3964,0.0,98.63,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,ASSAM,86044.7204,1271.1072,0.0,85134.473,1252.8471,0.0,98.94,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,ASSAM,61091.1602,902.5557,2039.04,57872.4651,844.3815,3.34,94.73,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,ASSAM,60708.8722,909.8089,1019.52,58787.1103,870.6027,1.68,96.83,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,ASSAM,57635.423,861.5468,0.0,56412.6141,839.5902,0.0,97.88,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,ASSAM,71182.5284,1062.7194,0.0,70120.0881,1028.639,0.0,98.51,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,ASSAM,119770.8103,1766.536,0.0,114162.019,1665.7989,0.0,95.32,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,ASSAM,4101.158,60.4053,0.0,4101.158,60.4053,0.0,100.0,92.94,33.86,52.24,5.87,True,monthly_climatology,
