billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,BIHAR,2393982.6727,40198.3212,2423.52,2370378.3027,39672.3212,0.1,99.01,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,BIHAR,1767806.4926,29688.4215,0.0,1761839.8326,29548.4215,0.0,99.66,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,BIHAR,1288506.4352,20401.8503,0.0,1281052.4752,20234.8503,0.0,99.42,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,BIHAR,1235939.1226,18526.5135,0.0,1222123.8726,18242.5135,0.0,98.88,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,BIHAR,1747486.4267,26181.0492,1191.84,1731666.2367,25809.0492,0.07,99.09,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,BIHAR,2834934.9144,42463.3355,0.0,2828987.0844,42331.3355,0.0,99.79,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,BIHAR,2281400.6116,34226.1967,0.0,2276219.5416,34110.1967,0.0,99.77,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,BIHAR,1981185.0476,29662.8192,1336.08,1972030.0876,29452.8192,0.07,99.54,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,BIHAR,1131101.3981,16950.639,0.0,1126551.3881,16834.639,0.0,99.6,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,BIHAR,1028041.9628,15412.1116,0.0,1019441.9928,15173.1116,0.0,99.16,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,BIHAR,1179415.3587,17708.0785,0.0,1176116.6887,17620.0785,0.0,99.72,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,BIHAR,1521717.528,22791.193,0.0,1519144.908,22737.193,0.0,99.83,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,BIHAR,2351964.3665,35230.5187,0.0,2347550.6141,35113.6986,0.0,99.81,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,BIHAR,1445239.2888,21666.5139,0.0,1443820.312,21633.7996,0.0,99.9,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,BIHAR,1108249.2526,16621.7072,0.0,1106526.5831,16586.8942,0.0,99.84,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,BIHAR,1346363.3152,20224.5854,28102.8413,1315041.8224,19631.7715,2.09,97.67,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,BIHAR,2290480.283,34294.1969,0.0,2288578.5444,34254.8055,0.0,99.92,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,BIHAR,2040178.2835,30558.4302,0.0,2036171.9581,30477.2419,0.0,99.8,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,BIHAR,1694666.8289,25384.568,0.0,1689595.1258,25277.5605,0.0,99.7,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,BIHAR,1995829.7799,29907.8804,0.0,1993509.2999,29860.8804,0.0,99.88,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,BIHAR,1607913.9196,24090.363,1336.08,1602584.1062,23986.2735,0.08,99.67,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,BIHAR,1036661.7028,15525.8728,33.2056,1031252.2933,15412.9534,0.0,99.48,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,BIHAR,1398817.0913,20956.699,0.0,1394632.4027,20865.5837,0.0,99.7,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,BIHAR,1618970.2172,24254.9499,1670.1,1615157.3276,24183.746,0.1,99.76,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,BIHAR,2296965.0908,34403.6718,4676.28,2281948.2092,34121.5894,0.2,99.35,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,BIHAR,1703344.9852,25536.4519,0.0,1699795.6337,25470.2148,0.0,99.79,88.49,31.38,53.61,4.44,False,observed,31.0
