billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,CHATTISGARH,773682.7865,13024.1118,0.0,767558.9965,12885.1118,0.0,99.21,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,CHATTISGARH,557372.6192,9362.1493,0.0,553294.5292,9270.1493,0.0,99.27,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,CHATTISGARH,278970.4044,4695.7934,0.0,270230.6744,4495.7934,0.0,96.87,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,CHATTISGARH,601467.1774,9585.8255,2979.6,592432.2574,9386.8255,0.5,98.5,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,CHATTISGARH,1064284.14,15958.0002,0.0,1061053.2,15864.0002,0.0,99.7,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,CHATTISGARH,1683995.7969,25246.8715,0.0,1679777.5969,25149.8715,0.0,99.75,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,CHATTISGARH,1125314.4427,16924.1601,0.0,1118864.7827,16779.1601,0.0,99.43,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,CHATTISGARH,584890.0186,8789.4145,0.0,579373.7086,8656.4145,0.0,99.06,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,CHATTISGARH,351491.4371,5321.2397,0.0,346950.0671,5197.2397,0.0,98.71,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,CHATTISGARH,581596.4801,8746.2549,0.0,575472.7901,8598.2549,0.0,98.95,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,CHATTISGARH,842433.8982,12761.196,0.0,837975.4382,12658.196,0.0,99.47,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,CHATTISGARH,491878.4062,7369.8125,3340.2,484823.7062,7212.8125,0.68,98.57,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,CHATTISGARH,669909.4834,10057.4846,0.0,666254.7256,9976.2676,0.0,99.45,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,CHATTISGARH,565912.4937,8471.5706,0.0,562593.5017,8387.0396,0.0,99.41,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,CHATTISGARH,408212.3741,6110.0588,0.0,405022.7101,6032.6584,0.0,99.22,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,CHATTISGARH,927136.4945,13887.6481,0.0,922684.7445,13791.6481,0.0,99.52,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,CHATTISGARH,1326943.7616,19902.7231,0.0,1323645.2816,19832.7231,0.0,99.75,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,CHATTISGARH,1078994.0692,16163.2187,0.0,1075666.8493,16096.2188,0.0,99.69,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,CHATTISGARH,673669.8946,10114.0263,0.0,671261.2311,10062.6443,0.0,99.64,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,CHATTISGARH,707139.69,10610.1928,0.0,704771.9295,10562.7553,0.0,99.67,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,CHATTISGARH,382681.6684,5754.4774,0.0,381273.1584,5717.4774,0.0,99.63,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,CHATTISGARH,527737.3175,7908.8865,0.0,525494.5886,7861.9302,0.0,99.58,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,CHATTISGARH,654060.4649,9811.8189,0.0,651432.3151,9761.8025,0.0,99.6,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,CHATTISGARH,534985.8311,8018.0796,0.0,532414.7892,7967.226,0.0,99.52,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,CHATTISGARH,493683.5158,7407.2291,0.0,491954.2138,7367.2242,0.0,99.65,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,CHATTISGARH,475117.4114,7126.7575,0.0,472017.4745,7067.4316,0.0,99.35,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,CHATTISGARH,700280.0709,10492.1533,0.0,695309.8962,10399.1266,0.0,99.29,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,CHATTISGARH,985369.4109,14512.5495,0.0,974699.7482,14314.5806,0.0,98.92,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,CHATTISGARH,1429291.2109,21055.9235,0.0,1424388.2719,20966.8876,0.0,99.66,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,CHATTISGARH,1272041.0917,18744.7545,0.0,1266141.8945,18628.5796,0.0,99.54,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,CHATTISGARH,832608.1002,12277.574,0.0,827804.7403,12190.565,0.0,99.42,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,CHATTISGARH,633125.7429,9350.7448,5437.4401,623168.1741,9167.5883,0.86,98.43,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,CHATTISGARH,491575.0891,7278.6914,5437.4399,484040.7004,7141.0295,1.11,98.47,58.31,14.62,75.33,0.0,False,observed,31.0
