billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,DELHI,1146583.5496,19403.4165,0.0,1140994.0996,19278.4165,0.0,99.51,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,DELHI,548886.1838,9281.2332,5959.2,537057.9038,9030.2332,1.09,97.85,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,DELHI,595758.3847,9911.903,0.0,591762.6047,9822.903,0.0,99.33,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,DELHI,687226.2978,10395.6928,0.0,679956.7778,10233.6928,0.0,98.94,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,DELHI,1306606.5443,19750.3564,20041.2,1280893.1543,19264.3564,1.53,98.03,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,DELHI,1115894.1082,16796.9507,0.0,1109686.9169,16658.9487,0.0,99.44,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,DELHI,1110713.9172,16773.8774,0.0,1098471.3672,16501.8774,0.0,98.9,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,DELHI,667800.8814,10054.5959,0.0,655915.6914,9767.5959,0.0,98.22,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,DELHI,492485.7533,7405.7066,668.16,482918.3133,7192.7066,0.14,98.06,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,DELHI,502014.1007,7542.8513,0.0,492267.9407,7325.8513,0.0,98.06,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,DELHI,942629.2659,14200.8756,0.0,931714.4659,13957.8756,0.0,98.84,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,DELHI,808522.6239,12148.1591,501.12,800540.6639,11973.1591,0.06,99.01,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,DELHI,1124191.9196,16929.9872,4008.24,1114927.5256,16741.7864,0.36,99.18,86.4,30.22,36.68,0.55,True,monthly_climatology,
