billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,GOA,109599.4785,1890.0611,0.0,109554.6085,1889.0611,0.0,99.96,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,GOA,68557.2343,1210.5666,0.0,68467.7243,1208.5666,0.0,99.87,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,GOA,55864.7521,972.9752,0.0,55506.2121,964.9752,0.0,99.36,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,GOA,120624.3495,1913.2697,0.0,119816.6295,1895.2697,0.0,99.33,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,GOA,173228.1434,2687.366,0.0,172510.1234,2671.366,0.0,99.59,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,GOA,122763.2118,1928.9478,0.0,121506.6718,1900.9478,0.0,98.98,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,GOA,31053.204,502.738,0.0,30604.424,492.738,0.0,98.55,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,GOA,46999.6501,747.1552,0.0,45698.2801,718.1552,0.0,97.23,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,GOA,44997.6033,688.2112,0.0,43516.6333,655.2112,0.0,96.71,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,GOA,70187.395,1108.6314,0.0,67889.115,1057.6314,0.0,96.73,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,GOA,67866.0996,1095.9259,1892.78,64998.4596,1040.9259,2.79,95.77,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,GOA,31560.9187,504.8603,0.0,30036.8087,471.8603,0.0,95.17,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,GOA,61901.4319,972.8105,0.0,61737.7798,969.1639,0.0,99.74,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,GOA,80103.4587,1250.7409,0.0,79418.0117,1235.4661,0.0,99.14,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,GOA,101178.9012,1601.2661,0.0,100941.5987,1596.4084,0.0,99.77,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,GOA,152945.9865,2381.0721,0.0,152378.5711,2369.0682,0.0,99.63,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,GOA,127353.2493,1997.3913,0.0,127060.0793,1990.3914,0.0,99.77,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,GOA,78591.6452,1231.5848,0.0,78286.1902,1224.4338,0.0,99.61,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,GOA,28776.3719,500.8257,0.0,28496.2593,495.3061,0.0,99.03,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,GOA,97589.2132,1518.806,0.0,96937.6131,1505.806,0.0,99.33,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,GOA,37358.4593,608.9828,0.0,36955.1593,600.9828,0.0,98.92,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,GOA,53025.13,830.3849,0.0,53009.0788,830.0966,0.0,99.97,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,GOA,73061.3598,1176.2385,0.0,72331.3354,1162.2641,0.0,99.0,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,GOA,44203.6004,677.9463,0.0,43524.6917,664.8802,0.0,98.46,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,GOA,26530.3566,436.5006,0.0,25520.6666,417.5006,0.0,96.19,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,GOA,31787.9043,492.9455,0.0,30631.0982,470.8114,0.0,96.36,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,GOA,80105.7936,1256.9049,0.0,77899.2457,1215.0583,0.0,97.25,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,GOA,44930.2951,707.2457,0.0,43872.5052,688.2457,0.0,97.65,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,GOA,62889.8171,972.3184,807.177,61837.8884,953.6716,1.28,98.33,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,GOA,62507.1171,985.5652,0.0,61059.5372,959.5653,0.0,97.68,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,GOA,49450.0717,761.0395,0.0,49394.4017,760.0395,0.0,99.89,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,GOA,36202.9119,557.1614,0.0,36139.4152,556.0209,0.0,99.82,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,GOA,38926.9059,593.2523,0.0,38815.5659,591.2523,0.0,99.71,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,GOA,70127.9559,1084.1075,0.0,69793.8759,1078.1075,0.0,99.52,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,GOA,61498.6913,940.371,0.0,61387.3513,938.371,0.0,99.82,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,GOA,2371.4656,41.8692,0.0,2124.5064,36.7349,0.0,89.59,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,GOA,30982.4323,480.9946,0.0,29979.7855,462.9846,0.0,96.76,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,GOA,29710.883,458.5449,0.0,29265.3712,450.5434,0.0,98.5,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,GOA,0.0,0.0,0.0,-779.42,-14.0,0.0,0.0,92.94,33.86,52.24,5.87,True,monthly_climatology,
