billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,GUJARAT,2470468.0345,41517.2317,0.0,2466534.3145,41428.2317,0.0,99.84,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,GUJARAT,1236618.3812,20795.4205,595.92,1228527.4512,20616.4205,0.05,99.35,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,GUJARAT,1316510.52,22141.0999,0.0,1307194.94,21932.0999,0.0,99.29,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,GUJARAT,2052634.4028,31890.9591,0.0,2039758.3328,31593.9591,0.0,99.37,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,GUJARAT,3002239.028,45131.7597,0.0,2988911.568,44834.7597,0.0,99.56,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,GUJARAT,2066156.8897,31045.6428,0.0,2055721.7697,30806.6428,0.0,99.49,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,GUJARAT,1880174.2044,28274.5477,0.0,1867110.6244,27982.5477,0.0,99.31,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,GUJARAT,1733775.6029,25978.0753,0.0,1727220.7629,25818.0753,0.0,99.62,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,GUJARAT,1280411.0169,19218.1508,0.0,1274756.7769,19089.1508,0.0,99.56,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,GUJARAT,1491744.3072,22381.8841,0.0,1479349.0972,22087.8841,0.0,99.17,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,GUJARAT,1544855.1847,23166.3842,0.0,1527407.1747,22793.3842,0.0,98.87,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,GUJARAT,1192667.5479,17897.3947,0.0,1175128.8679,17514.3947,0.0,98.53,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,GUJARAT,2452852.0805,36800.6441,0.0,2446330.9444,36654.8492,0.0,99.73,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,GUJARAT,1072730.4682,16085.8923,0.0,1066750.8453,15955.2372,0.0,99.44,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,GUJARAT,1175252.0106,17686.1424,0.0,1170363.0854,17581.894,0.0,99.58,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,GUJARAT,1908807.3886,28645.1634,51.1563,1903824.2099,28526.1591,0.0,99.74,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,GUJARAT,2398597.3158,36074.2116,0.0,2390052.5998,35901.1172,0.0,99.64,84.98,29.43,85.19,12.31,False,observed,31.0
