billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,HARYANA,979636.2583,16567.5044,0.0,972997.3783,16419.5044,0.0,99.32,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,HARYANA,668011.4887,11099.316,0.0,663034.0087,10988.316,0.0,99.25,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,HARYANA,571023.07,8590.6092,0.0,563709.98,8422.6092,0.0,98.72,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,HARYANA,570793.1735,8628.3729,0.0,565419.5935,8509.3729,0.0,99.06,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,HARYANA,914851.9925,13883.9046,0.0,909646.4925,13767.9046,0.0,99.43,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,HARYANA,1022549.5388,15704.1885,0.0,1018286.4088,15609.1885,0.0,99.58,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,HARYANA,826134.2741,12600.3875,0.0,823610.4741,12544.3875,0.0,99.69,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,HARYANA,685852.3686,10286.8457,0.0,682038.2486,10198.8457,0.0,99.44,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,HARYANA,571972.8731,8597.4045,4008.24,562354.9731,8400.4045,0.7,98.32,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,HARYANA,498029.1481,7463.2874,0.0,490175.7081,7270.2874,0.0,98.42,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,HARYANA,707095.3633,10756.3171,0.0,703166.7833,10670.3171,0.0,99.44,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,HARYANA,690874.2967,10357.0488,0.0,685797.5267,10245.0488,0.0,99.27,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,HARYANA,930455.6314,14050.2039,0.0,925242.8426,13937.7429,0.0,99.44,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,HARYANA,669036.9435,10068.7993,0.0,663972.3944,9956.5463,0.0,99.24,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,HARYANA,515096.9284,7731.8413,0.0,512689.2288,7680.3264,0.0,99.53,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,HARYANA,593077.6504,8888.4891,44.6641,589987.9439,8821.4881,0.01,99.48,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,HARYANA,780206.6224,11757.547,0.0,777499.0616,11701.6514,0.0,99.65,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,HARYANA,783258.6759,11800.3695,0.0,779724.4625,11725.2921,0.0,99.55,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,HARYANA,805728.6788,12183.9346,0.0,803757.108,12140.2456,0.0,99.76,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,HARYANA,683318.0889,10297.3002,0.0,681818.3589,10267.3002,0.0,99.78,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,HARYANA,439477.656,6603.6127,0.0,436408.9765,6542.9338,0.0,99.3,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,HARYANA,380108.4439,5791.2618,106.3962,377102.5841,5724.9646,0.03,99.21,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,HARYANA,674123.8916,10171.1535,0.0,669668.3899,10082.3373,0.0,99.34,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,HARYANA,554483.0049,8371.6881,8016.48,541911.9899,8136.9773,1.45,97.73,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,HARYANA,686608.1672,10426.352,5344.32,674382.5459,10198.8228,0.78,98.22,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,HARYANA,510408.9976,7681.6289,334.08,503622.4324,7554.492,0.07,98.67,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,HARYANA,523279.7058,7890.7761,163.3483,514346.1941,7726.7693,0.03,98.29,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,HARYANA,427637.1452,6421.8325,0.0,421680.5444,6312.1757,0.0,98.61,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,HARYANA,713139.8438,10610.3959,0.0,709899.7062,10551.3415,0.0,99.55,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,HARYANA,751137.1875,11279.4286,0.0,748572.9041,11233.2664,0.0,99.66,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,HARYANA,585194.6355,8751.5472,0.0,581887.4966,8692.1557,0.0,99.43,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,HARYANA,462760.1494,6835.9646,0.0,455069.4378,6695.8339,0.0,98.34,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,HARYANA,361003.7613,5331.4696,0.0,357009.8466,5258.7795,0.0,98.89,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,HARYANA,318378.0184,4764.9296,0.0,311989.9566,4650.219,0.0,97.99,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,HARYANA,498906.1908,7418.7203,0.0,493175.0201,7315.626,0.0,98.85,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,HARYANA,421640.2009,6314.0128,0.0,419455.4633,6274.7773,0.0,99.48,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,HARYANA,507462.2915,7526.1801,0.0,504001.7555,7464.129,0.0,99.32,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,HARYANA,341088.9701,5067.8829,0.0,337552.125,5004.4014,0.0,98.96,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,HARYANA,97165.9235,1459.4548,0.0,96831.8834,1453.4548,0.0,99.66,92.94,33.86,52.24,5.87,True,monthly_climatology,
