billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,HIMACHAL PRADESH,9742.2992,164.1862,0.0,8801.0192,143.1862,0.0,90.34,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,HIMACHAL PRADESH,1866.773,31.5827,0.0,-60.177,-13.4173,0.0,-3.22,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,HIMACHAL PRADESH,6111.6303,102.864,0.0,6021.8703,100.864,0.0,98.53,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,HIMACHAL PRADESH,1938.8882,32.7251,0.0,1580.8482,24.7251,0.0,81.53,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,HIMACHAL PRADESH,3114.4523,52.4237,0.0,960.2123,4.4237,0.0,30.83,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,HIMACHAL PRADESH,8623.2264,130.8841,0.0,7366.6364,102.8841,0.0,85.43,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,HIMACHAL PRADESH,14410.073,218.8229,0.0,14365.203,217.8229,0.0,99.69,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,HIMACHAL PRADESH,1898.6409,30.1014,0.0,1898.6409,26.1014,0.0,100.0,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,HIMACHAL PRADESH,7401.0681,110.9333,0.0,7311.3081,104.9333,0.0,98.79,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,HIMACHAL PRADESH,4098.5879,61.6162,0.0,4098.5879,61.6162,0.0,100.0,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,HIMACHAL PRADESH,5332.6175,81.3372,595.92,4736.6975,69.3372,11.17,88.83,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,HIMACHAL PRADESH,3.6516,0.0656,0.0,3.6516,0.0656,0.0,100.0,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,HIMACHAL PRADESH,10024.1865,150.0482,0.0,9998.2013,149.4692,0.0,99.74,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,HIMACHAL PRADESH,2672.4,40.0,0.0,2672.4,40.0,0.0,100.0,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,HIMACHAL PRADESH,1339.1315,20.0526,0.0,1331.8459,17.8903,0.0,99.46,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,HIMACHAL PRADESH,1336.2,20.0,4.2634,1331.9366,19.9234,0.32,99.68,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,HIMACHAL PRADESH,6681.0,100.0,0.0,6629.1459,98.9558,0.0,99.22,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,HIMACHAL PRADESH,1336.2,20.0,0.0,1336.2,20.0,0.0,100.0,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,HIMACHAL PRADESH,26.3055,0.4724,0.0,23.0559,0.4074,0.0,87.65,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,HIMACHAL PRADESH,1351.0096,20.266,0.0,1202.0296,17.266,0.0,88.97,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,HIMACHAL PRADESH,4016.2658,60.1377,0.0,3916.9458,58.1377,0.0,97.53,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,HIMACHAL PRADESH,334.05,5.0,0.0,-1354.39,-29.0,0.0,-405.45,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,HIMACHAL PRADESH,668.1,10.0,0.0,668.1,10.0,0.0,100.0,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,HIMACHAL PRADESH,2004.3,30.0,0.0,2004.3,27.0,0.0,100.0,74.74,23.74,48.71,0.03,False,observed,31.0
