billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,JHARKHAND,1136387.6527,19073.1273,0.0,1134048.1827,19022.1273,0.0,99.79,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,JHARKHAND,707269.9176,11877.3191,0.0,699432.1276,11702.3191,0.0,98.89,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,JHARKHAND,411271.2481,6885.9535,807.84,403024.8981,6701.9535,0.2,97.99,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,JHARKHAND,702257.9158,10570.0512,0.0,696113.5758,10429.0512,0.0,99.13,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,JHARKHAND,1307466.147,19599.9829,0.0,1302190.887,19481.9829,0.0,99.6,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,JHARKHAND,1484116.0335,22215.7757,0.0,1479618.8235,22113.7757,0.0,99.7,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,JHARKHAND,888338.1816,13326.865,0.0,884229.2816,13234.865,0.0,99.54,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,JHARKHAND,701209.7224,10504.7215,0.0,698741.6524,10449.7215,0.0,99.65,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,JHARKHAND,537941.8459,8117.401,0.0,531748.8859,7976.401,0.0,98.85,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,JHARKHAND,411574.6974,6173.4931,0.0,406175.6974,6051.4931,0.0,98.69,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,JHARKHAND,582877.286,8740.3229,0.0,577702.506,8627.3229,0.0,99.11,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,JHARKHAND,395605.4218,5960.7477,0.0,392558.2518,5893.7477,0.0,99.23,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,JHARKHAND,1032574.339,15482.4775,0.0,1029295.6268,15408.4155,0.0,99.68,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,JHARKHAND,578051.2293,8674.6107,0.0,575635.674,8620.5903,0.0,99.58,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,JHARKHAND,516902.5051,7758.2939,0.0,515130.2918,7720.8831,0.0,99.66,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,JHARKHAND,852523.9816,12768.5109,1339.8811,849541.7471,12710.5043,0.16,99.65,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,JHARKHAND,1407043.045,21114.4636,0.0,1405749.9288,21084.4242,0.0,99.91,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,JHARKHAND,1046693.8752,15676.0682,297.96,1045159.5017,15644.4277,0.03,99.85,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,JHARKHAND,833984.488,12545.5423,0.0,830930.5092,12479.135,0.0,99.63,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,JHARKHAND,678689.4812,10176.2102,0.0,677497.6412,10152.2102,0.0,99.82,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,JHARKHAND,448025.7147,6745.1816,0.0,446102.7101,6706.4597,0.0,99.57,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,JHARKHAND,470047.1265,7036.6957,0.0,468591.1826,7007.6276,0.0,99.69,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,JHARKHAND,604695.4722,9053.1659,0.0,598905.233,8938.0841,0.0,99.04,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,JHARKHAND,318456.0186,4785.918,0.0,316987.5956,4757.2715,0.0,99.54,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,JHARKHAND,854657.1379,12794.8229,0.0,852157.9446,12734.8013,0.0,99.71,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,JHARKHAND,622506.3529,9319.0744,4008.24,614848.744,9180.6627,0.64,98.77,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,JHARKHAND,782791.1757,11602.6296,0.0,777491.71,11506.6296,0.0,99.32,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,JHARKHAND,963079.923,14171.0328,0.0,957146.753,14061.935,0.0,99.38,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,JHARKHAND,1152472.3177,16958.8949,0.0,1144510.4835,16815.89,0.0,99.31,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,JHARKHAND,917197.4622,13498.9918,0.0,911004.2488,13387.7511,0.0,99.32,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,JHARKHAND,840502.9414,12379.3055,1336.08,834990.4014,12280.3055,0.16,99.34,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,JHARKHAND,656045.19,9727.5388,0.0,654573.8191,9701.1192,0.0,99.78,65.84,18.8,64.74,0.0,False,observed,30.0
