billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,KASHMIR,1078.9742,20.0398,0.0,1078.9742,20.0398,0.0,100.0,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,KASHMIR,6095.7,110.0,0.0,6095.7,110.0,0.0,100.0,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,KASHMIR,2979.7132,50.0043,0.0,2979.7132,50.0043,0.0,100.0,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,KASHMIR,8045.4009,135.0151,0.0,8045.4009,135.0151,0.0,100.0,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,KASHMIR,3575.4,60.0,0.0,3575.4,60.0,0.0,100.0,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,KASHMIR,4177.4299,70.1101,0.0,4087.6699,68.1101,0.0,97.85,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,KASHMIR,3575.4,60.0,0.0,703.09,-4.0,0.0,19.66,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,KASHMIR,11627.4861,195.1335,0.0,9608.0961,150.1335,0.0,82.63,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,KASHMIR,4174.8289,70.0634,0.0,4174.8289,70.0634,0.0,100.0,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,KASHMIR,5959.0,100.0,0.0,4792.12,74.0,0.0,80.42,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,KASHMIR,595.9,10.0,0.0,-77.25,-5.0,0.0,-12.96,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,KASHMIR,1191.8,20.0,0.0,1012.28,16.0,0.0,84.94,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,KASHMIR,6256.95,105.0,0.0,6122.34,102.0,0.0,97.85,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,KASHMIR,2383.6,40.0,0.0,2114.32,34.0,0.0,88.7,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,KASHMIR,0.0,0.0,0.0,-2326.32,-48.0,0.0,0.0,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,KASHMIR,12693.9,190.0,0.0,12097.98,178.0,0.0,95.31,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,KASHMIR,6294.2305,95.0526,0.0,2321.4305,15.0526,0.0,36.88,84.98,29.43,85.19,12.31,False,observed,31.0
