billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,KERALA,1361702.1462,23039.6674,0.0,1359776.5162,22991.6674,0.0,99.86,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,KERALA,824527.4927,14172.5918,807.84,819374.1727,14057.5918,0.1,99.37,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,KERALA,1051066.6127,17959.9367,0.0,1045367.8527,17832.9367,0.0,99.46,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,KERALA,1286996.4397,19844.8043,0.0,1278402.1797,19648.8043,0.0,99.33,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,KERALA,1112951.8677,16949.3781,0.0,1103882.3377,16745.3781,0.0,99.19,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,KERALA,1057134.9474,16110.6647,0.0,1049337.2774,15936.6647,0.0,99.26,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,KERALA,1109205.4771,16861.8918,0.0,1101571.2071,16690.8918,0.0,99.31,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,KERALA,997781.3155,15291.6095,0.0,984381.9155,14994.6095,0.0,98.66,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,KERALA,1312408.1442,19939.5733,0.0,1294194.8842,19525.5733,0.0,98.61,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,KERALA,1036076.8743,15873.1875,0.0,1013115.1443,15357.1875,0.0,97.78,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,KERALA,880526.5128,13488.9029,0.0,862132.1128,13075.9029,0.0,97.91,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,KERALA,437524.6573,6722.1733,0.0,426350.5473,6464.1733,0.0,97.45,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,KERALA,1274243.2073,19383.0503,0.0,1264509.7418,19160.8296,0.0,99.24,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,KERALA,899880.3171,13660.0864,0.0,893545.5676,13520.3334,0.0,99.3,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,KERALA,945812.7488,14390.8409,0.0,941247.5297,14286.8448,0.0,99.52,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,KERALA,1267121.1172,19371.6292,21.8872,1262628.2181,19276.2133,0.0,99.65,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,KERALA,1029292.3613,15611.3767,0.0,1026995.0943,15563.1175,0.0,99.78,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,KERALA,1160209.6068,17625.3435,668.16,1156444.5112,17536.1018,0.06,99.68,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,KERALA,1004759.8289,15513.4704,319.68,998553.5553,15384.2955,0.03,99.38,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,KERALA,729968.5507,11211.0766,0.0,725041.1184,11110.7745,0.0,99.32,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,KERALA,827173.1303,12658.3337,0.0,819518.8466,12505.2899,0.0,99.07,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,KERALA,987529.1612,15022.2589,3200.0391,975127.1859,14775.1363,0.32,98.74,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,KERALA,742289.7656,11338.0095,0.0,733066.0701,11156.857,0.0,98.76,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,KERALA,427538.6019,6672.1514,0.0,423662.407,6597.9692,0.0,99.09,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,KERALA,1070222.9108,16254.4147,0.0,1063783.8985,16130.385,0.0,99.4,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,KERALA,968592.699,14774.0234,0.0,958073.7114,14576.9611,0.0,98.91,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,KERALA,981152.8649,14964.2029,0.0,961824.0856,14610.0365,0.0,98.03,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,KERALA,1121911.9278,16840.9689,0.0,1105523.6149,16540.9788,0.0,98.54,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,KERALA,1131249.0338,16941.5688,0.0,1126471.6752,16852.3768,0.0,99.58,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,KERALA,1026421.115,15394.8064,0.0,1015529.5447,15192.1854,0.0,98.94,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,KERALA,955046.9285,14540.1993,0.0,949092.835,14432.0074,0.0,99.38,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,KERALA,940365.239,14172.815,16992.0,913115.9637,13672.4029,1.81,97.1,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,KERALA,1017532.7952,15282.3639,0.0,1007610.8269,15104.1469,0.0,99.02,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,KERALA,1347333.2566,20119.3496,16992.0,1321258.8702,19652.3328,1.26,98.06,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,KERALA,781033.9945,11781.5203,15859.2,756351.7469,11333.9527,2.03,96.84,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,KERALA,552560.7571,8310.1333,0.0,543763.7818,8144.6419,0.0,98.41,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,KERALA,938451.6418,14254.8712,0.0,935110.2619,14190.8712,0.0,99.64,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,KERALA,703018.4673,10529.3937,566.4,691328.6131,10313.3881,0.08,98.34,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,KERALA,181580.1853,2751.7847,13593.6,156830.2072,2334.3417,7.49,86.37,92.94,33.86,52.24,5.87,True,monthly_climatology,
