billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,MAHARASHTRA,4326561.5485,72936.355,0.0,4307973.5285,72482.355,0.0,99.57,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,MAHARASHTRA,2302650.8776,38852.5771,0.0,2277734.6476,38280.5771,0.0,98.92,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,MAHARASHTRA,2663153.4496,45239.6499,4767.36,2638360.8396,44669.6499,0.18,99.07,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,MAHARASHTRA,4859694.647,75124.9218,0.0,4832087.167,74486.9218,0.0,99.43,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,MAHARASHTRA,6756376.394,102948.7112,3575.52,6716858.454,102053.7112,0.05,99.42,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,MAHARASHTRA,4662918.2328,70335.7865,0.0,4631898.0041,69629.7885,0.0,99.33,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,MAHARASHTRA,4520311.2667,68681.839,0.0,4458687.1567,67306.839,0.0,98.64,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,MAHARASHTRA,3643383.0162,54838.9161,0.0,3609959.1962,54086.9161,0.0,99.08,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,MAHARASHTRA,2494541.6173,37706.2187,0.0,2473060.3273,37165.2187,0.0,99.14,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,MAHARASHTRA,3829348.1594,58205.0486,0.0,3799526.0294,57495.0486,0.0,99.22,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,MAHARASHTRA,3181319.3355,47956.957,0.0,3144015.1755,47103.957,0.0,98.83,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,MAHARASHTRA,2733696.8258,41491.6661,81.0,2714388.6058,41006.6661,0.0,99.29,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,MAHARASHTRA,4225177.9905,63745.4391,5534.8798,4188344.2203,62938.8987,0.13,99.13,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,MAHARASHTRA,2919298.8165,44089.399,0.0,2904296.1649,43738.4048,0.0,99.49,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,MAHARASHTRA,4017067.498,60807.2924,0.0,3996820.1828,60371.1883,0.0,99.5,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,MAHARASHTRA,5277778.0438,79467.4958,52.9558,5260583.4034,79089.1048,0.0,99.67,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,MAHARASHTRA,5725331.7334,86720.3218,8016.48,5693680.3253,86074.2313,0.14,99.45,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,MAHARASHTRA,4984021.6049,75577.3961,0.0,4964229.013,75100.9313,0.0,99.6,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,MAHARASHTRA,3538449.2039,53355.2314,0.0,3520009.8315,52962.9905,0.0,99.48,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,MAHARASHTRA,3493942.5384,53133.6427,0.0,3474295.8533,52724.4369,0.0,99.44,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,MAHARASHTRA,2157952.3055,32634.7688,0.0,2142022.1569,32283.3623,0.0,99.26,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,MAHARASHTRA,2632381.7018,39723.0774,68.6019,2615006.1716,39332.7785,0.0,99.34,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,MAHARASHTRA,3328588.4237,50361.0342,1002.06,3316614.0416,50063.7148,0.03,99.64,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,MAHARASHTRA,2236043.436,33883.7126,8350.5,2202781.3929,33232.8604,0.37,98.51,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,MAHARASHTRA,3184780.92,48208.7853,1781.44,3167126.3185,47855.9679,0.06,99.45,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,MAHARASHTRA,3158746.8823,47784.4536,0.0,3137700.2862,47390.4592,0.0,99.33,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,MAHARASHTRA,4610543.5005,69344.0588,0.0,4581600.0913,68792.2316,0.0,99.37,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,MAHARASHTRA,4819827.8145,71915.6084,0.0,4776211.6582,71070.1249,0.0,99.1,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,MAHARASHTRA,4168232.1174,62144.5053,2853.1966,4141631.3181,61655.3569,0.07,99.36,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,MAHARASHTRA,4786801.242,71385.3839,0.0,4764472.7251,70979.8166,0.0,99.53,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,MAHARASHTRA,3232039.9089,48192.2473,0.0,3214473.8836,47867.5922,0.0,99.46,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,MAHARASHTRA,2485840.7897,36984.0854,0.0,2468165.3894,36647.9119,0.0,99.29,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,MAHARASHTRA,2861104.0791,42369.5822,0.0,2843570.3861,42015.0353,0.0,99.39,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,MAHARASHTRA,3132831.4827,46609.7556,0.0,3117555.6985,46292.3768,0.0,99.51,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,MAHARASHTRA,3001570.5835,44455.5727,6813.84,2980170.671,44043.9118,0.23,99.29,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,MAHARASHTRA,1646200.6662,24494.6311,1345.9,1630850.0271,24190.3651,0.08,99.07,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,MAHARASHTRA,2665445.395,39579.8599,0.0,2641504.9659,39101.6163,0.0,99.1,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,MAHARASHTRA,1956798.5131,29243.7517,5380.8,1927017.2393,28688.1942,0.27,98.48,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,MAHARASHTRA,341382.9744,5041.0677,0.0,329671.9544,4824.0677,0.0,96.57,92.94,33.86,52.24,5.87,True,monthly_climatology,
