billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,M.P.,3357773.7276,56429.7052,0.0,3345599.2676,56155.7052,0.0,99.64,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,M.P.,1799978.6044,30218.6817,0.0,1787177.2444,29924.6817,0.0,99.29,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,M.P.,1198262.1957,20172.5433,20261.28,1162538.6457,19423.5433,1.69,97.02,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,M.P.,1913977.7316,30296.4326,19069.44,1883487.7416,29652.4326,1.0,98.41,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,M.P.,3446659.5469,51827.7676,3340.2,3430304.2769,51460.7676,0.1,99.53,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,M.P.,3416439.2533,51290.2668,7151.04,3403275.0133,51008.2668,0.21,99.61,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,M.P.,2602989.2202,39050.1373,4008.24,2585608.5302,38670.1373,0.15,99.33,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,M.P.,2086241.0972,31367.3015,0.0,2079483.5472,31212.3015,0.0,99.68,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,M.P.,1495875.7533,22409.2524,6680.4,1482600.3433,22136.2524,0.45,99.11,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,M.P.,1453507.9398,21912.8365,0.0,1441304.7898,21616.8365,0.0,99.16,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,M.P.,2205698.126,33324.7835,6346.38,2191465.316,33030.7835,0.29,99.35,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,M.P.,1773481.9712,26616.3938,1670.4,1759636.6712,26299.3938,0.09,99.22,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,M.P.,3122032.3012,46998.0267,0.0,3109751.0874,46724.7661,0.0,99.61,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,M.P.,1769336.6266,26528.9681,0.0,1758510.4745,26282.4784,0.0,99.39,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,M.P.,1204835.1979,18038.5037,2004.12,1193694.0667,17796.6582,0.17,99.08,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,M.P.,2047892.4356,30812.5936,84.2377,2042304.5637,30695.0038,0.0,99.73,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,M.P.,3567276.9799,53534.0249,9352.56,3551459.1574,53214.2205,0.26,99.56,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,M.P.,3406774.3479,51113.5776,10170.12,3391776.9103,50829.7332,0.3,99.56,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,M.P.,2225002.116,33412.0888,0.0,2221049.6662,33332.8617,0.0,99.82,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,M.P.,2306330.7549,34808.7228,0.0,2300371.5279,34674.7223,0.0,99.74,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,M.P.,1336355.1954,20137.9693,0.0,1329019.1154,19985.9693,0.0,99.45,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,M.P.,1034870.6345,15724.7198,676.4343,1029316.9417,15609.481,0.07,99.46,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,M.P.,1867150.9345,28110.9011,779.52,1859935.4747,27964.901,0.04,99.61,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,M.P.,1633820.432,24553.0944,0.0,1630615.276,24492.065,0.0,99.8,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,M.P.,1984944.3378,29818.5333,0.0,1980246.1057,29723.4666,0.0,99.76,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,M.P.,1370802.0277,20547.7158,0.0,1364461.6199,20416.7639,0.0,99.54,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,M.P.,1666496.2546,24973.8153,0.0,1657208.1391,24796.2464,0.0,99.44,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,M.P.,2227588.6961,32936.3455,6796.8,2197629.4051,32383.9288,0.31,98.66,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,M.P.,3383148.9724,49797.984,13.2853,3375661.4768,49659.4728,0.0,99.78,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,M.P.,2936048.8574,43284.7041,0.0,2923629.2393,43060.626,0.0,99.58,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,M.P.,2081554.1423,30653.6915,0.0,2070213.6823,30445.6915,0.0,99.46,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,M.P.,1544515.3626,22864.6259,6117.12,1526788.963,22540.2954,0.4,98.85,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,M.P.,1226446.7007,18075.4361,0.0,1215186.4394,17865.6267,0.0,99.08,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,M.P.,1191632.7112,17561.5818,0.0,1187822.3845,17476.085,0.0,99.68,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,M.P.,1704041.6335,25136.5982,0.0,1698827.3228,25027.0258,0.0,99.69,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,M.P.,1345226.0752,19816.4722,0.0,1342670.4061,19770.5874,0.0,99.81,76.3,24.61,58.33,1.12,False,observed,31.0
