billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,ORISSA,1723607.0588,28970.4921,6103.68,1713069.0488,28729.4921,0.35,99.39,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,ORISSA,911010.9613,15348.5687,2383.68,903389.2113,15184.5687,0.26,99.16,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,ORISSA,631239.6568,10637.6469,0.0,623198.1168,10455.6469,0.0,98.73,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,ORISSA,1232185.271,19539.7905,0.0,1222693.281,19324.7905,0.0,99.23,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,ORISSA,1498396.4361,22510.2489,0.0,1484839.3361,22208.2489,0.0,99.1,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,ORISSA,1798353.4324,27100.9945,0.0,1785878.0324,26822.9945,0.0,99.31,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,ORISSA,1697523.5,25633.9378,0.0,1689808.92,25462.9378,0.0,99.55,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,ORISSA,1249426.9025,18777.0825,12024.72,1225742.2125,18301.0825,0.96,98.1,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,ORISSA,954241.7559,14415.3021,0.0,942029.6559,14130.3021,0.0,98.72,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,ORISSA,915496.1539,13743.6376,0.0,909481.8639,13604.6376,0.0,99.34,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,ORISSA,942644.9991,14165.4057,0.0,930967.6591,13911.4057,0.0,98.76,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,ORISSA,470248.4393,7146.3166,0.0,458788.1693,6893.3166,0.0,97.56,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,ORISSA,1784168.8286,26724.1474,0.0,1776076.0794,26542.9272,0.0,99.55,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,ORISSA,648243.9975,9753.3675,0.0,643532.0974,9644.8133,0.0,99.27,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,ORISSA,567146.9123,8494.7399,0.0,562115.2537,8390.8201,0.0,99.11,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,ORISSA,1259449.0314,18904.4363,6031.2592,1247030.045,18631.0962,0.48,99.01,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,ORISSA,1408680.5851,21136.8408,3340.2,1399893.3421,20960.0225,0.24,99.38,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,ORISSA,1286003.8247,19298.4165,0.0,1278742.9594,19149.4472,0.0,99.44,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,ORISSA,1306845.4804,19594.7442,0.0,1301775.5788,19482.7732,0.0,99.61,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,ORISSA,1086564.8402,16306.1843,5345.28,1076380.5176,16113.0616,0.49,99.06,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,ORISSA,660642.8982,9938.0508,0.0,655401.623,9821.928,0.0,99.21,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,ORISSA,766155.9832,11496.2219,47.0237,762681.0604,11425.9551,0.01,99.55,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,ORISSA,953681.2845,14313.4141,0.0,952146.4213,14280.8743,0.0,99.84,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,ORISSA,654327.1704,9810.6122,668.16,647090.2717,9670.194,0.1,98.89,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,ORISSA,1291809.3809,19352.6739,0.0,1283700.4409,19189.5991,0.0,99.37,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,ORISSA,775351.2034,11658.3781,0.0,772152.2774,11599.0534,0.0,99.59,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,ORISSA,956413.4676,14357.3148,0.0,943527.846,14121.9988,0.0,98.65,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,ORISSA,1439917.8198,21272.1676,0.0,1425135.8683,21000.1194,0.0,98.97,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,ORISSA,1399258.8306,20657.4684,1113.6,1386383.8326,20419.1919,0.08,99.08,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,ORISSA,1377824.8382,20351.5372,0.0,1366699.8931,20154.5196,0.0,99.19,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,ORISSA,1206822.5297,17856.4483,0.0,1197516.1897,17688.4483,0.0,99.23,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,ORISSA,933572.9883,13806.3788,0.0,924551.3477,13640.3567,0.0,99.03,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,ORISSA,879058.2728,12974.3417,0.0,872930.0692,12863.2,0.0,99.3,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,ORISSA,1023774.0139,15103.2645,3035.28,1014525.1159,14929.6169,0.3,99.1,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,ORISSA,875172.6492,12969.9132,0.0,867096.3414,12813.8468,0.0,99.08,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,ORISSA,709036.421,10495.5363,5437.44,700125.8946,10330.1724,0.77,98.74,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,ORISSA,1191604.6351,17643.2687,0.0,1186314.4819,17542.2515,0.0,99.56,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,ORISSA,791790.037,11681.9659,0.0,790056.7863,11649.8378,0.0,99.78,91.53,33.07,39.03,0.83,False,observed,29.0
