billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,PUNJAB,853057.6041,14324.1371,0.0,849566.5741,14241.1371,0.0,99.59,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,PUNJAB,506858.4676,8510.4672,0.0,499323.4776,8342.4672,0.0,98.51,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,PUNJAB,399959.6593,6112.3696,0.0,393812.2293,5973.3696,0.0,98.46,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,PUNJAB,292826.1816,4421.5091,0.0,286812.8816,4284.5091,0.0,97.95,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,PUNJAB,548373.2837,8241.6182,0.0,543373.5337,8129.6182,0.0,99.09,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,PUNJAB,703297.8971,10541.3627,0.0,701549.5671,10494.3627,0.0,99.75,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,PUNJAB,576639.1753,8657.32,0.0,572713.3153,8570.32,0.0,99.32,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,PUNJAB,524422.1778,7875.3097,5065.32,511296.7578,7589.3097,0.97,97.5,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,PUNJAB,335537.7585,5032.7166,0.0,331220.3285,4935.7166,0.0,98.71,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,PUNJAB,299124.6265,4494.6826,0.0,295040.8465,4403.6826,0.0,98.63,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,PUNJAB,388874.5614,5822.724,0.0,384607.7614,5723.724,0.0,98.9,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,PUNJAB,296851.571,4464.9018,0.0,288356.161,4277.9018,0.0,97.14,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,PUNJAB,694036.1644,10405.9914,2022.52,689582.3152,10312.3442,0.29,99.36,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,PUNJAB,502163.3559,7532.5543,0.0,498892.6347,7460.5306,0.0,99.35,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,PUNJAB,388582.7877,5819.4825,0.0,386010.3217,5764.4308,0.0,99.34,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,PUNJAB,345556.051,5181.6596,2004.12,341985.521,5113.6596,0.58,98.97,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,PUNJAB,421457.8877,6310.9652,8016.48,410639.5724,6107.925,1.9,97.43,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,PUNJAB,426985.5429,6405.2521,1002.24,424304.4821,6347.5328,0.23,99.37,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,PUNJAB,387777.9592,5821.0285,0.0,385809.6381,5781.4046,0.0,99.49,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,PUNJAB,376823.2908,5650.2623,0.0,373148.4508,5574.2623,0.0,99.02,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,PUNJAB,283745.1147,4250.4527,0.0,280020.0567,4174.4415,0.0,98.69,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,PUNJAB,261328.974,3929.8288,2.785,258370.9271,3864.7538,0.0,98.87,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,PUNJAB,434984.8483,6517.9254,1280.41,429715.1283,6415.9254,0.29,98.79,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,PUNJAB,234061.5787,3512.0651,0.0,231837.325,3470.0604,0.0,99.05,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,PUNJAB,416611.0641,6250.9171,779.52,413444.5306,6190.832,0.19,99.24,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,PUNJAB,409810.2988,6140.7564,0.0,404333.6815,6038.7342,0.0,98.66,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,PUNJAB,351385.184,5289.3477,142.6829,345904.6216,5186.8131,0.04,98.44,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,PUNJAB,409731.0966,6062.9761,0.0,403051.7696,5942.0304,0.0,98.37,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,PUNJAB,430933.9739,6349.0752,0.0,425162.7209,6242.5818,0.0,98.66,84.63,29.24,82.14,14.45,False,observed,31.0
