billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,RAJASTHAN,1509797.7656,25383.8987,0.0,1503837.8356,25248.8987,0.0,99.61,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,RAJASTHAN,628850.3147,10584.6462,0.0,617591.2047,10333.6462,0.0,98.21,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,RAJASTHAN,365116.1443,5974.135,0.0,356953.2043,5792.135,0.0,97.76,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,RAJASTHAN,615022.8818,9221.8432,0.0,601738.8018,8921.8432,0.0,97.84,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,RAJASTHAN,1245415.0615,18671.361,0.0,1239446.9315,18537.361,0.0,99.52,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,RAJASTHAN,1070970.3981,16089.0776,0.0,1061397.3781,15872.0776,0.0,99.11,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,RAJASTHAN,1068408.4527,16040.0674,0.0,1059343.5427,15838.0674,0.0,99.15,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,RAJASTHAN,755864.9378,11325.87,0.0,749088.5478,11167.87,0.0,99.1,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,RAJASTHAN,674611.2804,10149.4509,645.58,664839.9704,9926.4509,0.1,98.55,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,RAJASTHAN,648572.0723,9713.2484,0.0,637114.6123,9448.2484,0.0,98.23,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,RAJASTHAN,1033116.7061,15554.8274,0.0,1023402.2361,15355.8274,0.0,99.06,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,RAJASTHAN,720502.1015,10791.3739,0.0,714811.4315,10664.3739,0.0,99.21,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,RAJASTHAN,1484335.8283,22278.5929,334.08,1479467.7212,22171.8795,0.02,99.67,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,RAJASTHAN,599304.8557,8997.836,0.0,594451.9596,8887.9447,0.0,99.19,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,RAJASTHAN,342104.086,5120.6625,0.0,338136.0755,5035.5274,0.0,98.84,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,RAJASTHAN,655044.0,9820.0,22.9263,655021.0737,9819.5882,0.0,100.0,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,RAJASTHAN,983897.3575,14775.169,334.08,978038.379,14653.015,0.03,99.4,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,RAJASTHAN,1288632.2951,19298.6125,600.1,1284286.7093,19213.3112,0.05,99.66,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,RAJASTHAN,865998.0736,12994.518,501.03,861027.6436,12876.518,0.06,99.43,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,RAJASTHAN,837167.8826,12536.6896,0.0,834213.8626,12474.6896,0.0,99.65,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,RAJASTHAN,431067.1836,6471.5704,0.0,423804.6201,6322.5673,0.0,98.32,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,RAJASTHAN,431475.3783,6485.9012,14.0477,426484.7099,6380.92,0.0,98.84,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,RAJASTHAN,916968.9432,13747.0308,0.0,914450.6262,13694.4408,0.0,99.73,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,RAJASTHAN,738124.3225,11075.2256,6680.4,723093.6101,10791.7989,0.91,97.96,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,RAJASTHAN,752574.8227,11300.2651,0.0,744029.6269,11135.3722,0.0,98.86,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,RAJASTHAN,595709.4004,8939.2595,0.0,590018.9758,8829.2151,0.0,99.04,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,RAJASTHAN,638459.6337,9593.0733,0.0,631251.4105,9459.4827,0.0,98.87,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,RAJASTHAN,711081.88,10477.7534,0.0,704970.5834,10360.2993,0.0,99.14,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,RAJASTHAN,1089488.2751,16050.7533,0.0,1082491.1172,15902.3024,0.0,99.36,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,RAJASTHAN,1224645.7797,18069.4274,0.0,1216646.3334,17917.4215,0.0,99.35,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,RAJASTHAN,810208.7744,11936.1155,0.0,805864.2544,11858.1155,0.0,99.46,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,RAJASTHAN,637363.4747,9379.5555,1359.36,631039.785,9264.4023,0.21,99.01,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,RAJASTHAN,561072.3838,8266.9592,0.0,556423.692,8180.5577,0.0,99.17,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,RAJASTHAN,560320.7594,8258.3804,1699.2,553521.2232,8132.7308,0.3,98.79,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,RAJASTHAN,822880.1516,12123.2346,0.0,817346.2649,12023.8383,0.0,99.33,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,RAJASTHAN,621115.4166,9202.9483,0.0,616156.5319,9109.879,0.0,99.2,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,RAJASTHAN,832398.5225,12290.4971,1699.2,825186.584,12158.4943,0.2,99.13,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,RAJASTHAN,597531.2749,8817.3283,0.0,593639.2273,8747.426,0.0,99.35,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,RAJASTHAN,44501.4712,667.6692,0.0,42719.8312,635.6692,0.0,96.0,92.94,33.86,52.24,5.87,True,monthly_climatology,
