billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,TAMIL NADU,3533489.4485,60185.4901,0.0,3532044.8485,60152.4901,0.0,99.96,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,TAMIL NADU,1583901.9993,26921.5748,0.0,1577525.8793,26779.5748,0.0,99.6,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,TAMIL NADU,1766976.8374,30090.0781,0.0,1763519.4874,30013.0781,0.0,99.8,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,TAMIL NADU,2714110.2882,42553.2091,0.0,2705718.7482,42368.2091,0.0,99.69,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,TAMIL NADU,2073201.3627,31288.4964,25295.18,2040805.2327,30659.4964,1.22,98.44,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,TAMIL NADU,2799617.4923,42479.6741,595.92,2795123.9923,42381.6741,0.02,99.84,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,TAMIL NADU,3625702.5004,55012.5033,5959.2,3611764.4004,54713.5033,0.16,99.62,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,TAMIL NADU,4329216.1803,65778.0746,0.0,4321148.6302,65592.0747,0.0,99.81,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,TAMIL NADU,3367184.5368,51141.2397,0.0,3362497.0768,51031.2397,0.0,99.86,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,TAMIL NADU,2869550.7416,43515.4659,0.0,2860874.8216,43321.4659,0.0,99.7,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,TAMIL NADU,2467066.4068,37693.5651,0.0,2458245.4668,37502.5651,0.0,99.64,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,TAMIL NADU,1142013.3472,17479.0171,0.0,1130150.6072,17218.0171,0.0,98.96,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,TAMIL NADU,3413432.4193,51323.8465,3340.2,3402638.76,51100.3468,0.1,99.68,86.4,30.22,36.68,0.55,True,monthly_climatology,
