billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,TELANGANA,2838935.5201,48550.5267,0.0,2834425.1601,48432.5267,0.0,99.84,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,TELANGANA,825506.0014,14225.3247,0.0,817854.0714,14051.3247,0.0,99.07,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,TELANGANA,963906.8775,16486.0603,807.84,958403.9875,16361.0603,0.08,99.43,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,TELANGANA,1280081.4011,20838.3188,0.0,1277076.5311,20771.3188,0.0,99.77,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,TELANGANA,1857862.036,28659.3656,2784.0,1849952.666,28495.3656,0.15,99.57,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,TELANGANA,2274597.8437,34980.1306,2004.12,2266505.6437,34809.1306,0.09,99.64,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,TELANGANA,2070473.8453,31981.4607,0.0,2064625.4853,31833.4607,0.0,99.72,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,TELANGANA,1380060.1667,21420.2679,7237.2,1368425.1867,21184.2679,0.52,99.16,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,TELANGANA,1324495.1353,20856.8703,0.0,1314974.0253,20645.8703,0.0,99.28,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,TELANGANA,1371728.1183,21105.1704,3340.2,1365316.9857,20976.0852,0.24,99.53,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,TELANGANA,1390663.6145,21279.7461,2394.24,1378551.9345,21002.7461,0.17,99.13,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,TELANGANA,525264.4249,8123.9464,1336.08,517336.1549,7954.9464,0.25,98.49,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,TELANGANA,1970250.1567,29914.498,2004.12,1964644.863,29793.213,0.1,99.72,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,TELANGANA,698356.073,10564.6424,668.16,691283.8404,10405.1688,0.1,98.99,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,TELANGANA,1240743.184,19008.3617,0.0,1238746.1492,18961.4207,0.0,99.84,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,TELANGANA,1754511.0857,26670.3059,1381.3559,1749478.2973,26572.2992,0.08,99.71,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,TELANGANA,2491597.0959,37875.2198,0.0,2486948.3924,37784.6217,0.0,99.81,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,TELANGANA,2433716.6627,36878.7846,10649.1353,2418589.48,36560.4914,0.44,99.38,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,TELANGANA,1609299.6675,24673.3848,0.0,1606605.9242,24617.1154,0.0,99.83,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,TELANGANA,1472668.547,22633.961,2004.12,1464277.1724,22471.0596,0.14,99.43,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,TELANGANA,888131.1046,13492.348,8016.48,876600.6619,13276.0477,0.9,98.7,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,TELANGANA,1040500.6978,15838.8483,66.9719,1037575.2121,15776.483,0.01,99.72,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,TELANGANA,1180839.3521,17909.7747,0.0,1179027.8848,17874.5081,0.0,99.85,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,TELANGANA,642162.5386,9888.1408,2338.14,637768.4714,9805.8127,0.36,99.32,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,TELANGANA,1745307.8555,26278.0874,1280.64,1701195.367,25388.3408,0.07,97.47,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,TELANGANA,923039.2071,13982.807,556.7,919279.4887,13913.4479,0.06,99.59,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,TELANGANA,1476627.3237,22341.0629,1002.24,1467040.3589,22156.205,0.07,99.35,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,TELANGANA,1384201.7968,20685.5907,2039.04,1375025.7479,20521.4039,0.15,99.34,85.68,29.82,80.8,11.11,False,observed,31.0
