billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,U.P.,28775175.9756,483422.0783,8938.8,28753698.1956,482962.0783,0.03,99.93,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,U.P.,20335431.6534,336684.7312,2154.24,20322665.3734,336400.7312,0.01,99.94,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,U.P.,13299937.2093,209417.3214,7305.6,13277358.8293,208920.3214,0.05,99.83,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,U.P.,13961941.921,209130.9387,22045.32,13924366.591,208380.9387,0.16,99.73,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,U.P.,28507733.3581,427169.7324,3231.36,28495341.7781,426882.7324,0.01,99.96,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,U.P.,33627293.06,503810.0097,53722.57,33564441.19,502628.0097,0.16,99.81,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,U.P.,35424371.8112,531094.7994,34999.98,35383568.6412,530333.7994,0.1,99.88,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,U.P.,24004451.2668,359772.0029,148.98,23994755.2868,359552.0029,0.0,99.96,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,U.P.,12215999.6015,184360.868,0.0,12210297.2215,184207.868,0.0,99.95,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,U.P.,9152896.4907,138126.6965,33555.72,9111249.1607,137325.6965,0.37,99.54,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,U.P.,12593136.6709,188675.8847,198.64,12584921.0209,188495.8847,0.0,99.93,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,U.P.,17792748.9014,266356.6927,13216.62,17773872.7414,265987.6927,0.07,99.89,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,U.P.,29103334.1422,437041.1663,20041.2,29075983.5583,436521.6883,0.07,99.91,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,U.P.,18679842.352,280908.4515,39495.96,18628357.0999,279919.0964,0.21,99.72,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,U.P.,12409021.6261,185804.1719,25385.58,12375981.2503,185172.7407,0.2,99.73,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,U.P.,14944451.6569,223784.9667,4082.9693,14936627.6163,223626.679,0.03,99.95,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,U.P.,28505665.0397,427070.9916,3340.2,28499028.056,426930.3845,0.01,99.98,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,U.P.,28374889.0683,424941.2993,4008.24,28366529.2862,424773.3781,0.01,99.97,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,U.P.,24890506.3895,372709.8449,10298.95,24869184.638,372298.9777,0.04,99.91,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,U.P.,21851721.0363,327172.7581,18705.12,21828681.0163,326749.7581,0.09,99.89,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,U.P.,12626298.0197,189117.7062,0.0,12619851.9068,188978.2396,0.0,99.95,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,U.P.,9095742.0482,136213.0808,22483.9373,9064687.5788,135624.0667,0.25,99.66,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,U.P.,14482772.4803,216938.5392,1002.06,14477392.9474,216829.5745,0.01,99.96,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,U.P.,16865956.8851,252582.8387,4008.24,16857567.8925,252423.1889,0.02,99.95,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,U.P.,28607385.8555,428378.1183,3006.18,28592147.3181,428083.3545,0.01,99.95,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,U.P.,18669132.9216,279258.612,17637.12,18646561.6002,278874.2422,0.09,99.88,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,U.P.,16380483.2364,243052.1846,28160.4713,16340978.6668,242326.8316,0.17,99.76,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,U.P.,15731409.7018,231730.5594,3375.12,15712330.3746,231362.9933,0.02,99.88,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,U.P.,30334596.947,446547.1031,15632.64,30311859.6321,446128.7795,0.05,99.93,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,U.P.,29641619.4688,436454.7367,12521.7,29614559.0917,435941.5535,0.04,99.91,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,U.P.,23864207.3899,351364.8745,24328.8,23831334.16,350779.179,0.1,99.86,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,U.P.,18582926.9903,273522.6796,1812.87,18572641.4233,273331.7177,0.01,99.94,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,U.P.,12438301.8429,183119.4835,4078.08,12422941.9429,182842.2729,0.03,99.88,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,U.P.,8760371.4767,128967.9489,0.0,8752032.3446,128811.2903,0.0,99.9,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,U.P.,13423882.5789,197662.7355,11888.64,13402939.9955,197272.7862,0.09,99.84,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,U.P.,15672976.5235,230752.6104,0.0,15669154.016,230652.0921,0.0,99.98,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,U.P.,28274584.3269,416205.4855,1699.2,28264758.8923,416022.6228,0.01,99.97,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,U.P.,18192225.8265,267853.7476,19699.2,18166019.4295,267387.936,0.11,99.86,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,U.P.,3302526.7633,48506.3687,0.0,3299743.0433,48454.3687,0.0,99.92,92.94,33.86,52.24,5.87,True,monthly_climatology,
