billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,UTTARAKHAND,806759.5316,13544.2052,0.0,805592.7716,13518.2052,0.0,99.86,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,UTTARAKHAND,460344.5506,7353.8508,10726.56,448857.0206,7120.8508,2.33,97.5,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,UTTARAKHAND,425379.2711,6374.2679,0.0,424650.5111,6358.2679,0.0,99.83,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,UTTARAKHAND,400528.5134,5998.1474,0.0,399137.4634,5967.1474,0.0,99.65,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,UTTARAKHAND,642675.9372,9621.3478,0.0,641374.5172,9591.3478,0.0,99.8,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,UTTARAKHAND,971825.7456,14549.3328,0.0,971017.9256,14530.3328,0.0,99.92,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,UTTARAKHAND,1160374.6369,17399.9954,40082.4,1119210.5069,16654.9954,3.45,96.45,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,UTTARAKHAND,665252.6088,9958.8562,0.0,664983.3688,9950.8562,0.0,99.96,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,UTTARAKHAND,290330.4475,4353.7616,0.0,287817.2575,4296.7616,0.0,99.13,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,UTTARAKHAND,230628.9495,3454.4136,0.0,229944.9595,3433.4136,0.0,99.7,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,UTTARAKHAND,372567.4984,5583.8433,0.0,372018.2584,5571.8433,0.0,99.85,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,UTTARAKHAND,548580.093,8213.256,297.96,546831.763,8175.256,0.05,99.68,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,UTTARAKHAND,620384.7162,9296.9722,0.0,619655.0666,9279.7136,0.0,99.88,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,UTTARAKHAND,521798.7126,7832.231,0.0,521358.2796,7822.5305,0.0,99.92,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,UTTARAKHAND,334866.9448,5022.6785,0.0,332090.6769,4961.1318,0.0,99.17,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,UTTARAKHAND,392730.5468,5887.9822,10.1002,392094.0066,5874.8008,0.0,99.84,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,UTTARAKHAND,698752.1067,10460.5532,0.0,698453.7388,10454.4486,0.0,99.96,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,UTTARAKHAND,609276.1658,9127.4437,0.0,608349.9833,9108.3188,0.0,99.85,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,UTTARAKHAND,695400.5898,10418.3564,0.0,695102.6298,10412.3564,0.0,99.96,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,UTTARAKHAND,435753.9083,6554.7596,0.0,434860.0283,6535.7596,0.0,99.79,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,UTTARAKHAND,316504.8664,4740.8669,3340.2,312318.3647,4654.8258,1.06,98.68,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,UTTARAKHAND,269718.82,4040.5248,2.772,268572.6319,4017.4501,0.0,99.58,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,UTTARAKHAND,452980.909,6780.1636,0.0,452282.8856,6765.1076,0.0,99.85,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,UTTARAKHAND,561872.1,8410.0,0.0,561871.1662,8409.9812,0.0,100.0,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,UTTARAKHAND,634248.86,9522.0,0.0,633628.88,9509.0,0.0,99.9,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,UTTARAKHAND,495505.219,7421.9616,0.0,494815.0343,7408.9172,0.0,99.86,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,UTTARAKHAND,433718.858,6492.1884,8016.48,424350.0096,6323.1318,1.85,97.84,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,UTTARAKHAND,488315.8943,7185.1449,0.0,486775.0443,7157.0846,0.0,99.68,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,UTTARAKHAND,538130.6716,7938.331,0.0,537906.6582,7934.2918,0.0,99.96,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,UTTARAKHAND,790961.7509,11650.3118,0.0,789958.9583,11631.3,0.0,99.87,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,UTTARAKHAND,657394.6913,9693.9194,0.0,656225.5213,9672.9194,0.0,99.82,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,UTTARAKHAND,444740.7998,6543.8313,0.0,443123.7503,6474.7908,0.0,99.64,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,UTTARAKHAND,355645.9204,5232.8748,0.0,354642.2255,5211.852,0.0,99.72,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,UTTARAKHAND,212230.8176,3122.9029,0.0,211282.8956,3105.8799,0.0,99.55,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,UTTARAKHAND,355473.9475,5231.5915,0.0,354748.3086,5218.5584,0.0,99.8,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,UTTARAKHAND,415959.6297,6138.5633,0.0,412764.2453,6076.1689,0.0,99.23,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,UTTARAKHAND,492169.1918,7254.1745,3851.52,487925.6553,7173.1341,0.78,99.14,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,UTTARAKHAND,491258.0107,7233.0863,0.0,491070.0868,7229.7166,0.0,99.96,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,UTTARAKHAND,102897.939,1516.2027,0.0,102619.549,1511.2027,0.0,99.73,92.94,33.86,52.24,5.87,True,monthly_climatology,
