billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202304,Apr-2023,WEST BENGAL,903789.5858,15192.1551,0.0,891729.9358,14912.1551,0.0,98.67,86.4,30.22,36.68,0.55,True,monthly_climatology,
202305,May-2023,WEST BENGAL,533809.5891,8988.3346,567.24,525710.1091,8800.3346,0.11,98.48,93.76,34.31,39.25,1.76,True,monthly_climatology,
202306,Jun-2023,WEST BENGAL,277765.5191,4694.7211,0.0,268855.9891,4492.7211,0.0,96.79,92.94,33.86,52.24,5.87,True,monthly_climatology,
202307,Jul-2023,WEST BENGAL,573541.3927,8749.342,0.0,556397.0927,8379.342,0.0,97.01,87.04,30.58,80.21,11.2,True,monthly_climatology,
202308,Aug-2023,WEST BENGAL,1041387.4715,15680.7089,0.0,1030662.2115,15441.7089,0.0,98.97,84.8,29.33,83.66,13.38,True,monthly_climatology,
202309,Sep-2023,WEST BENGAL,1035338.626,15618.0485,0.0,1021471.876,15306.0485,0.0,98.66,84.49,29.16,78.32,6.94,True,monthly_climatology,
202310,Oct-2023,WEST BENGAL,687510.1608,10368.6899,0.0,676232.2708,10116.6899,0.0,98.36,79.73,26.52,67.54,1.23,True,monthly_climatology,
202311,Nov-2023,WEST BENGAL,656291.0071,9869.9191,0.0,638804.3871,9473.9191,0.0,97.34,68.23,20.13,66.04,0.0,True,monthly_climatology,
202312,Dec-2023,WEST BENGAL,358868.1185,5379.7623,0.0,345818.6785,5084.7623,0.0,96.36,58.44,14.69,72.61,1.02,True,monthly_climatology,
202401,Jan-2024,WEST BENGAL,297623.6755,4463.7279,0.0,278488.1355,4037.7279,0.0,93.57,55.77,13.21,80.34,1.36,True,monthly_climatology,
202402,Feb-2024,WEST BENGAL,529283.9148,7980.7382,0.0,504227.3148,7464.7382,0.0,95.27,65.36,18.53,65.24,0.54,True,monthly_climatology,
202403,Mar-2024,WEST BENGAL,396924.4545,5965.299,0.0,374076.5845,5463.299,0.0,94.24,75.52,24.18,53.52,0.58,True,monthly_climatology,
202404,Apr-2024,WEST BENGAL,861931.2384,12943.4557,0.0,855278.9229,12788.2796,0.0,99.23,86.4,30.22,36.68,0.55,True,monthly_climatology,
202405,May-2024,WEST BENGAL,452880.4928,6807.427,2004.12,446669.4903,6678.5438,0.44,98.63,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,WEST BENGAL,327099.4403,4927.1409,4008.24,319887.0235,4789.1421,1.23,97.8,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,WEST BENGAL,794359.2111,11963.7601,4040.2695,784779.114,11773.991,0.51,98.79,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,WEST BENGAL,912627.042,13747.996,0.0,905314.8533,13597.6563,0.0,99.2,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,WEST BENGAL,728986.8802,11055.5352,835.05,720672.0347,10887.2472,0.11,98.86,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,WEST BENGAL,554021.0747,8392.9307,0.0,545441.2628,8213.2806,0.0,98.45,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,WEST BENGAL,529984.9246,7961.2447,0.0,519623.8366,7751.6041,0.0,98.05,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,WEST BENGAL,391470.5746,5877.3429,11134.0,373826.3506,5544.7251,2.84,95.49,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,WEST BENGAL,361338.3236,5445.1185,1690.1305,352301.0589,5266.6541,0.47,97.5,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,WEST BENGAL,512879.7255,7724.0038,0.0,502029.3909,7509.9847,0.0,97.88,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,WEST BENGAL,353966.5897,5361.6961,0.0,340859.9817,5106.8697,0.0,96.3,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,WEST BENGAL,838043.9395,12618.3984,1781.56,827474.608,12407.8071,0.21,98.74,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,WEST BENGAL,421516.1044,6351.0014,0.0,417782.9505,6281.7897,0.0,99.11,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,WEST BENGAL,635469.0488,9518.3509,0.0,626618.1872,9351.65,0.0,98.61,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,WEST BENGAL,737343.6915,10905.8998,16992.0,699289.3789,10223.3309,2.3,94.84,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,WEST BENGAL,854948.6559,12635.9986,2039.04,833432.882,12248.3065,0.24,97.48,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,WEST BENGAL,771094.3403,11445.7971,10874.88,740945.7361,10906.6225,1.41,96.09,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,WEST BENGAL,616450.7459,9149.36,0.0,606398.0868,8963.2201,0.0,98.37,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,WEST BENGAL,543684.0739,8022.6641,0.0,534664.7079,7855.2792,0.0,98.34,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,WEST BENGAL,366178.594,5426.8335,0.0,360144.5759,5301.7263,0.0,98.35,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,WEST BENGAL,338448.6778,4999.2625,0.0,329206.4073,4798.4781,0.0,97.27,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,WEST BENGAL,575854.5526,8552.2727,339.84,565577.0008,8353.8457,0.06,98.22,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,WEST BENGAL,300313.321,4477.9968,0.0,290290.2664,4290.0807,0.0,96.66,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,WEST BENGAL,724066.202,10731.2931,5096.04,711323.8136,10499.9738,0.7,98.24,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,WEST BENGAL,411771.3425,6097.7668,0.0,407325.4623,6016.9546,0.0,98.92,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,WEST BENGAL,88715.8943,1306.2657,0.0,86710.4842,1269.2636,0.0,97.74,92.94,33.86,52.24,5.87,True,monthly_climatology,
